Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2025-01-01 00:00:00,2024-12-31T17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,1613.0,8.0,2.2,174.0,155.0,32.0,1.0,0.0,1018.0,95.0,13.6,0.0,1.6
2025-01-01 01:00:00,2024-12-31T18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,227,416.1,37.0,20.0,113.0,113.0,106.0,0.0,0.0,1018.0,96.0,13.2,0.0,1.6
2025-01-01 02:00:00,2024-12-31T19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,227,418.6,36.3,16.0,114.0,113.67,93.7,0.0,0.0,1017.0,96.0,13.1,0.0,2.0
2025-01-01 03:00:00,2024-12-31T20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,228,421.2,35.7,12.0,115.0,114.33,81.3,0.0,0.0,1017.0,96.0,12.9,0.0,2.0
2025-01-01 04:00:00,2024-12-31T21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,229,423.7,35.0,8.0,116.0,115.0,69.0,1.0,0.0,1017.0,97.0,12.8,0.0,1.6
2025-01-01 05:00:00,2024-12-31T22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,246,447.0,37.7,7.7,128.3,127.67,69.7,0.0,0.0,1016.0,93.0,12.0,0.0,1.0
2025-01-01 06:00:00,2024-12-31T23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,263,470.4,40.3,7.3,140.7,140.33,70.3,0.0,0.0,1016.0,93.0,13.0,0.0,1.0
2025-01-01 07:00:00,2025-01-01T00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,153,493.7,43.0,7.0,153.0,153.0,71.0,100.0,0.0,1018.0,97.0,13.2,0.6,0.8
2025-01-01 08:00:00,2025-01-01T01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,190,1310.0,15.0,2.2,216.0,190.0,32.0,9.0,0.0,1018.0,97.0,13.2,2.2,0.8
2025-01-01 09:00:00,2025-01-01T02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,187,1310.0,15.0,3.2,216.0,187.0,32.0,1.0,0.0,1018.0,81.0,16.9,3.3,1.2
2025-01-01 10:00:00,2025-01-01T03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,183,1310.0,15.0,10.8,216.0,183.0,32.0,2.0,0.0,1019.0,75.0,18.8,4.6,1.2
2025-01-01 11:00:00,2025-01-01T04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,174,1175.7,15.0,15.5,210.7,174.0,32.0,1.0,0.0,1017.0,61.0,20.5,5.8,0.8
2025-01-01 12:00:00,2025-01-01T05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,169,806.0,15.0,27.0,210.0,169.0,32.0,1.0,0.0,1016.0,51.0,22.1,6.3,0.4
2025-01-01 13:00:00,2025-01-01T06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,156,907.0,15.0,24.9,200.0,156.0,32.0,1.0,0.0,1015.0,42.0,23.8,5.8,0.0
2025-01-01 14:00:00,2025-01-01T07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,256,605.0,8.0,34.6,174.0,135.0,32.0,0.0,0.0,1014.0,44.0,23.9,4.7,0.66
2025-01-01 15:00:00,2025-01-01T08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,256,806.0,8.0,34.6,142.0,135.0,26.0,0.0,0.0,1013.0,45.0,24.0,3.3,1.33
2025-01-01 16:00:00,2025-01-01T09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,179,222.4,14.0,174.0,77.0,77.0,193.0,1.0,0.0,1013.0,47.0,24.1,2.3,2.0
2025-01-01 17:00:00,2025-01-01T10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,200,907.0,15.0,27.0,124.0,93.0,26.0,0.0,0.0,1013.0,53.0,22.3,2.0,1.33
2025-01-01 18:00:00,2025-01-01T11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,255,331.3,31.3,116.7,134.3,134.33,177.7,1.0,0.0,1013.0,60.0,20.6,0.0,0.66
2025-01-01 19:00:00,2025-01-01T12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,163,385.8,40.0,88.0,163.0,163.0,170.0,0.0,0.0,1014.0,67.0,18.8,0.0,2.0
2025-01-01 20:00:00,2025-01-01T13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,272,364.2,34.0,87.0,147.0,147.0,146.3,1.0,0.0,1015.0,71.0,18.6,0.0,1.0
2025-01-01 21:00:00,2025-01-01T14:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,250,342.6,28.0,86.0,131.0,131.0,122.7,0.0,0.0,1015.0,75.0,18.4,0.0,2.0
2025-01-01 22:00:00,2025-01-01T15:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,229,321.0,22.0,85.0,115.0,115.0,99.0,1.0,0.0,1016.0,80.0,18.2,0.0,3.0
2025-01-01 23:00:00,2025-01-01T16:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,222,323.5,20.7,83.0,109.7,109.67,92.7,2.0,0.0,1016.0,83.0,17.8,0.0,2.0
2025-01-02 00:00:00,2025-01-01T17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,215,326.0,19.3,81.0,104.3,104.33,86.3,6.0,0.0,1016.0,86.0,17.3,0.0,1.0
2025-01-02 01:00:00,2025-01-01T18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,208,328.6,18.0,79.0,99.0,99.0,80.0,2.0,0.0,1016.0,90.0,16.9,0.0,1.6
2025-01-02 02:00:00,2025-01-01T19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,223,352.7,19.7,66.7,110.3,110.0,79.0,3.0,0.0,1016.0,92.0,16.3,0.0,1.2
